,fighter_name,id,type,matches
103314,Steven Maxwell,132845,f,"[(132845, 21806, 'loss', 'Mar / 19 / 2016', '/events/AFC-15-Wilkinson-vs-Abdallah-51215'), (132845, 147275, 'loss', 'Mar / 04 / 2016', '/events/Minotaur-3-Carnage-50849'), (132845, 105689, 'loss', 'Nov / 27 / 2015', '/events/Minotaur-2-Rampage-50577'), (132845, 58427, 'loss', 'Aug / 14 / 2015', '/events/Minotaur-1-Unleashed-47581'), (132845, 107945, 'loss', 'Jun / 13 / 2015', '/events/Valor-Fight-11-Three-Year-Anniversary-54101'), (132845, 161053, 'win', 'Nov / 22 / 2014', '/events/Valor-Fight-9-Potter-vs-Dare-40055'), (132845, 141773, 'loss', 'Jun / 14 / 2014', '/events/Valor-Fight-8-Two-Year-Anniversary-38147'), (132845, 96793, 'win', 'Feb / 15 / 2014', '/events/Valor-Fight-7-Potter-vs-Butt-35257'), (132845, 111643, 'win', 'Jun / 15 / 2013', '/events/Valor-Fight-5-One-Year-Anniversary-30439'), (132845, 107959, 'loss', 'Apr / 20 / 2013', '/events/Valor-Fight-C-Series-3-29657')]"
103456,Ahmed Mujtaba,132987,f,"[(132987, 176729, 'win', 'Jul / 30 / 2016', '/events/WSOFGC-3-World-Series-of-Fighting-Global-Championship-Philippines-52761'), (132987, 217315, 'win', 'Feb / 01 / 2016', '/events/360FN-Beatdown-50473'), (132987, 214827, 'win', 'Jan / 22 / 2016', '/events/UGB-MMA-Championship-13-Foreign-Invasion-49823'), (132987, 144811, 'win', 'Nov / 28 / 2015', '/events/Ultimate-Beatdown-18-Dynamite-49245'), (132987, 147141, 'win', 'Feb / 02 / 2014', '/events/PAKMMA-Fighting-Alliance-2-Vengeance-35767'), (132987, 132989, 'win', 'Apr / 20 / 2013', '/events/Pak-Fight-Club-3-Bantamweight-Grand-Prix-29709')]"
103574,Paulo      Cesar,133105,f,"[(133105, 98349, 'loss', 'Jul / 30 / 2016', '/events/JF-Jungle-Fight-89-53591'), (133105, 137713, 'win', 'May / 14 / 2016', '/events/Spetaculus-MMA-Apocalypse-53071'), (133105, 17157, 'loss', 'Jul / 04 / 2015', '/events/JF-Jungle-Fight-79-46665'), (133105, 64387, 'win', 'Sep / 13 / 2014', '/events/EFC-Marica-3-Elite-Fighting-Championship-3-41525'), (133105, 133973, 'loss', 'Mar / 28 / 2014', '/events/WOCS-33-Watch-Out-Combat-Show-33-36249'), (133105, 81602, 'win', 'Nov / 01 / 2013', '/events/WOCS-31-Watch-Out-Combat-Show-31-29329'), (133105, 29853, 'win', 'Aug / 05 / 2012', '/events/EFC-Marica-1-Elite-Fighting-Championship-29731')]"
103780,Shuhei Sakano,133311,f,"[(133311, 128843, 'loss', 'Aug / 07 / 2016', '/events/Zst-Zst-52-Swat-154-53075'), (133311, 136101, 'win', 'Apr / 17 / 2016', '/events/Zst-Zst-50-51587'), (133311, 91397, 'loss', 'Nov / 22 / 2015', '/events/Zst-49-13th-Anniversary-44407'), (133311, 22678, 'win', 'Oct / 18 / 2015', '/events/Zst-Zst-48-44403'), (133311, 175649, 'win', 'Aug / 23 / 2015', '/events/Zst-Zst-Challenge-145-44393'), (133311, 200789, 'win', 'Jul / 12 / 2015', '/events/Zst-Zst-Challenge-143-44387'), (133311, 96689, 'draw', 'Dec / 21 / 2014', '/events/Zst-Swat-58-38687')]"
103850,Evgeni Kondratov,133381,f,"[(133381, 197611, 'win', 'May / 15 / 2016', '/events/EFN-Fight-Nights-Global-47-52355'), (133381, 97529, 'loss', 'Nov / 21 / 2015', '/events/ProFC-59-Battle-of-Kursk-3-49685'), (133381, 109625, 'win', 'Jan / 18 / 2015', '/events/Rod-Fighting-Shield-and-Sword-4-36223'), (133381, 45418, 'loss', 'Nov / 30 / 2013', '/events/M1-Global-M1-Challenge-44-34141'), (133381, 186379, 'win', 'Jun / 01 / 2013', '/events/Rod-Fighting-Shield-and-Sword-3-51069'), (133381, 87190, 'win', 'Apr / 27 / 2013', '/events/VSR-Overtime-2-29811'), (133381, 62433, 'win', 'Feb / 23 / 2013', '/events/Fight-Nights-Battle-of-Moscow-10-27599'), (133381, 127555, 'win', 'Oct / 27 / 2012', '/events/VSR-Overtime-1-27223'), (133381, 77300, 'win', 'Aug / 07 / 2010', '/events/RP-Ratnoe-Pole-14349')]"
104388,Alfred Khashakyan,133919,f,"[(133919, 121143, 'loss', 'Aug / 05 / 2016', '/events/NEF-Lookin-for-a-Fight-53865'), (133919, 31962, 'win', 'Jun / 25 / 2016', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-7-53151'), (133919, 82464, 'win', 'Apr / 22 / 2016', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-6-51907'), (133919, 142485, 'loss', 'Oct / 23 / 2015', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-4-48659'), (133919, 162973, 'win', 'Jul / 10 / 2015', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-3-46783'), (133919, 131549, 'win', 'Apr / 17 / 2015', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-2-45285'), (133919, 146355, 'win', 'Feb / 20 / 2015', '/events/Lights-Out-Bash-Entertainment-Fight-Night-at-Sportsmens-Lodge-43893'), (133919, 158301, 'win', 'Apr / 12 / 2014', '/events/LOP-Chaos-at-the-Casino-4-37185'), (133919, 103767, 'win', 'Nov / 23 / 2013', '/events/LOP-Chaos-at-the-Casino-3-34093'), (133919, 113457, 'loss', 'May / 18 / 2013', '/events/Flawless-FC-3-California-Love-29965')]"
104988,Lia Mata'afa,134519,a,[]
105164,Rickson Thai Zenidim Bueno,134695,f,"[(134695, 209077, 'win', 'Jul / 29 / 2016', '/events/Paulao-Fight-22-Years-53609'), (134695, 150661, 'win', 'Jul / 29 / 2015', '/events/Paulao-Fight-21-Years-45145'), (134695, 170033, 'win', 'Sep / 06 / 2014', '/events/PF-Paulao-Fight-2014-39003'), (134695, 170033, 'win', 'Jun / 28 / 2014', '/events/CPG-MMA-2-Ponta-Grossa-vs-Arapoti-38649'), (134695, 164049, 'win', 'Jan / 25 / 2014', '/events/CPG-MMA-1-Championship-Ponta-Grossa-37115'), (134695, 151415, 'win', 'Nov / 09 / 2013', '/events/PF-Palmeira-Fight-34039'), (134695, 134697, 'win', 'Aug / 31 / 2013', '/events/PF-Paulao-Fight-2013-37113')]"
105412,Rodrigo Souto,134943,f,"[(134943, 184887, 'loss', 'Apr / 18 / 2015', '/events/FA-Fatality-Arena-8-45719'), (134943, 172051, 'loss', 'Jul / 06 / 2014', '/events/FK-MMA-Favela-Kombat-11-38029'), (134943, 134941, 'loss', 'May / 11 / 2013', '/events/EFC-Marica-2-Elite-Fighting-Championship-2-29707')]"
105654,Isamu Kanazawa,135185,f,"[(135185, 22662, 'loss', 'Aug / 07 / 2016', '/events/Zst-Zst-53-Swat-155-53077'), (135185, 181737, 'loss', 'Jan / 08 / 2016', '/events/WMA-Worldwide-MMA-Alliance-Championship-50187'), (135185, 19301, 'win', 'Nov / 15 / 2015', '/events/Philoctetes-Niigata-Echigo-Fujin-Matsuri-3-48055'), (135185, 28967, 'loss', 'Feb / 07 / 2015', '/events/Top-FC-5-Top-Fighting-Championship-5-43125'), (135185, 155757, 'win', 'Dec / 21 / 2014', '/events/Shooto-The-Rookie-Tournament-Final-2014-34639'), (135185, 28605, 'win', 'Jan / 12 / 2014', '/events/Shooto-Border-Season-6-The-1st-34235'), (135185, 84123, 'win', 'Nov / 17 / 2013', '/events/Philoctetes-Niigata-Echigo-Fujin-Matsuri-Vol1-33899'), (135185, 135183, 'win', 'Jun / 08 / 2013', '/events/Shooto-Shooting-Disco-21-Catch-the-Moment-28921')]"
